,AR,ARMA,ELM,AR+ELM,ARMA+ELM,MLP,AR+MLP,ARMA+MLP,ESN,AR+ESN,ARMA+ESN,RBF,AR+RBF,ARMA+RBF,Ensemble - Mediana (ML),Ensemble - Mediana (RNAs),Ensemble - Mediana (RNAs sem RBF),Ensemble - Mediana (MU),Ensemble - Mediana (MU sem RBF),Ensemble - Mediana (todos),Ensemble - Média (ML),Ensemble - Média (RNAs),Ensemble - Média (RNAs sem RBF),Ensemble - Média (MU),Ensemble - Média (MU sem RBF),Ensemble - Média (todos)
0,0.504559596,0.492777649,0.51161019,2.075354259,5.91872548,0.724328927,1.366071315,1.619261979,0.507070793,1.189014856,1.77003698,1.924195419,1.678956724,1.694040523,0.4988047444390504,0.5575559965306225,0.5071377322000119,0.503504962785197,0.5016687380790109,0.8599422403844963,0.4988047444390504,0.5990144324849866,0.5990144324849866,0.5471918981185414,0.5100194620527548,0.8222294383805177
1,0.504559596,0.492777649,0.509377655,2.007179145,3.382326562,0.746183781,1.357751114,1.618662576,0.505764621,0.798509597,1.654647899,1.579796292,1.653210095,1.545733863,0.4988047444390504,0.5575559965306225,0.5071377322000119,0.503504962785197,0.5016687380790109,0.8599422403844963,0.4988047444390504,0.5990144324849866,0.5990144324849866,0.5471918981185414,0.5100194620527548,0.8222294383805177
2,0.504559596,0.492777649,0.509499233,2.160186229,6.463115525,0.727048703,1.332259354,1.625323157,0.50994715,1.580885376,0.984022513,1.530027411,1.657621067,1.618262494,0.4988047444390504,0.5575559965306225,0.5071377322000119,0.503504962785197,0.5016687380790109,0.8599422403844963,0.4988047444390504,0.5990144324849866,0.5990144324849866,0.5471918981185414,0.5100194620527548,0.8222294383805177
3,0.504559596,0.492777649,0.511482918,1.924987392,3.408080104,0.70985386,1.37429556,1.616630285,0.517795027,0.928387536,1.100064042,2.365892957,1.710523307,1.791450467,0.4988047444390504,0.5575559965306225,0.5071377322000119,0.503504962785197,0.5016687380790109,0.8599422403844963,0.4988047444390504,0.5990144324849866,0.5990144324849866,0.5471918981185414,0.5100194620527548,0.8222294383805177
4,0.504559596,0.492777649,0.514413425,1.953380377,8.51387563,0.743584933,1.364567818,1.618882426,0.504132217,1.058155949,1.400449335,2.059241779,1.954373798,1.680909387,0.4988047444390504,0.5575559965306225,0.5071377322000119,0.503504962785197,0.5016687380790109,0.8599422403844963,0.4988047444390504,0.5990144324849866,0.5990144324849866,0.5471918981185414,0.5100194620527548,0.8222294383805177
5,0.504559596,0.492777649,0.512030699,2.095467175,5.936495456,0.749941442,1.329278296,1.620834261,0.521306877,1.296771087,1.874758417,1.971493229,1.570086604,1.73133615,0.4988047444390504,0.5575559965306225,0.5071377322000119,0.503504962785197,0.5016687380790109,0.8599422403844963,0.4988047444390504,0.5990144324849866,0.5990144324849866,0.5471918981185414,0.5100194620527548,0.8222294383805177
6,0.504559596,0.492777649,0.507867232,2.159029677,10.24167725,0.806092913,1.366208144,1.623950927,0.504904522,1.315339734,1.459030096,1.213954164,1.791992016,1.703077029,0.4988047444390504,0.5575559965306225,0.5071377322000119,0.503504962785197,0.5016687380790109,0.8599422403844963,0.4988047444390504,0.5990144324849866,0.5990144324849866,0.5471918981185414,0.5100194620527548,0.8222294383805177
7,0.504559596,0.492777649,0.513933546,1.65772314,4.893471142,0.727039883,1.373323976,1.619587865,0.511404315,1.194755155,0.668868433,1.941146781,1.848791614,1.738702685,0.4988047444390504,0.5575559965306225,0.5071377322000119,0.503504962785197,0.5016687380790109,0.8599422403844963,0.4988047444390504,0.5990144324849866,0.5990144324849866,0.5471918981185414,0.5100194620527548,0.8222294383805177
8,0.504559596,0.492777649,0.511055078,1.748272146,4.14940648,0.757918502,1.361608787,1.620404389,0.506631725,1.782763574,1.504019697,1.532834374,1.912968231,1.701738785,0.4988047444390504,0.5575559965306225,0.5071377322000119,0.503504962785197,0.5016687380790109,0.8599422403844963,0.4988047444390504,0.5990144324849866,0.5990144324849866,0.5471918981185414,0.5100194620527548,0.8222294383805177
9,0.504559596,0.492777649,0.513959544,2.095182663,7.408939785,0.792736713,1.361156466,1.621034604,0.503097448,1.156321306,1.02539276,1.714299664,1.74594633,1.798682987,0.4988047444390504,0.5575559965306225,0.5071377322000119,0.503504962785197,0.5016687380790109,0.8599422403844963,0.4988047444390504,0.5990144324849866,0.5990144324849866,0.5471918981185414,0.5100194620527548,0.8222294383805177
